src_region,dst_region,edge_weight,edge_type
iCauThal,iS1-b,0.08704397822154222,ipsi
cCauThal,cS1-b,0.08704397822154222,contra_internal
iCauThal,iTeA,0.3861138597708378,ipsi
cCauThal,cTeA,0.3861138597708378,contra_internal
iCauThal,iIns,0.04185446378858505,ipsi
cCauThal,cIns,0.04185446378858505,contra_internal
iCauThal,iV,0.1970303965646298,ipsi
cCauThal,cV,0.1970303965646298,contra_internal
iCauThal,iV-b,0.15833450228076715,ipsi
cCauThal,cV-b,0.15833450228076715,contra_internal
iCauThal,iVTA,0.04133800282846114,ipsi
cCauThal,cVTA,0.04133800282846114,contra_internal
iLS,iCg,0.009019372923877363,ipsi
cLS,cCg,0.009019372923877363,contra_internal
iLS,iAcb,0.04112110533652935,ipsi
cLS,cAcb,0.04112110533652935,contra_internal
iLS,iTC,0.05194512826737128,ipsi
cLS,cTC,0.05194512826737128,contra_internal
iLS,iPnO,0.007283824093521494,ipsi
cLS,cPnO,0.007283824093521494,contra_internal
iLS,iM2,0.009706911711259272,ipsi
cLS,cM2,0.009706911711259272,contra_internal
iLS,iM,0.007440339519526851,ipsi
cLS,cM,0.007440339519526851,contra_internal
iLS,iMS,0.027956320677024398,ipsi
cLS,cMS,0.027956320677024398,contra_internal
iLS,iPAG,0.02877003615731427,ipsi
cLS,cPAG,0.02877003615731427,contra_internal
iLS,iPir,0.006856852702119857,ipsi
cLS,cPir,0.006856852702119857,contra_internal
iLS,iVLThal,0.007929121998241848,ipsi
cLS,cVLThal,0.007929121998241848,contra_internal
iLS,iVTA,0.024677884583056788,ipsi
cLS,cVTA,0.024677884583056788,contra_internal
iMamm,iCg,0.08105418889160762,ipsi
cMamm,cCg,0.08105418889160762,contra_internal
iMamm,iAcb,0.349425947539765,ipsi
cMamm,cAcb,0.349425947539765,contra_internal
iMamm,iTC,0.12792630086338383,ipsi
cMamm,cTC,0.12792630086338383,contra_internal
iMamm,iAI,0.025363679299900303,ipsi
cMamm,cAI,0.025363679299900303,contra_internal
iMamm,iAI-b,0.01887915086158484,ipsi
cMamm,cAI-b,0.01887915086158484,contra_internal
iMamm,iAIP,0.01407739198169419,ipsi
cMamm,cAIP,0.01407739198169419,contra_internal
iMamm,iMDThal,0.04854812257563106,ipsi
cMamm,cMDThal,0.04854812257563106,contra_internal
iMamm,iDpMe,0.05049268547316282,ipsi
cMamm,cDpMe,0.05049268547316282,contra_internal
iMamm,iBLP,0.008636795224797432,ipsi
cMamm,cBLP,0.008636795224797432,contra_internal
iMamm,iBMA,0.007129261700332616,ipsi
cMamm,cBMA,0.007129261700332616,contra_internal
iMamm,iCl,0.03176070447235739,ipsi
cMamm,cCl,0.03176070447235739,contra_internal
iMamm,iPMCo,0.026998330887248505,ipsi
cMamm,cPMCo,0.026998330887248505,contra_internal
iMamm,iCPu,0.26290399191340785,ipsi
cMamm,cCPu,0.26290399191340785,contra_internal
iMamm,iPnO,0.07235400230348016,ipsi
cMamm,cPnO,0.07235400230348016,contra_internal
iMamm,iHipp,0.3495724978932589,ipsi
cMamm,cHipp,0.3495724978932589,contra_internal
iMamm,iEct,0.033195438838732536,ipsi
cMamm,cEct,0.033195438838732536,contra_internal
iMamm,iLEnt,0.17179909620979578,ipsi
cMamm,cLEnt,0.17179909620979578,contra_internal
iMamm,iEnt,0.15167713507927338,ipsi
cMamm,cEnt,0.15167713507927338,contra_internal
iMamm,iDEn,0.062043437570480406,ipsi
cMamm,cDEn,0.062043437570480406,contra_internal
iMamm,iEn,0.03574350045704185,ipsi
cMamm,cEn,0.03574350045704185,contra_internal
iMamm,iIC,0.04226918950499031,ipsi
cMamm,cIC,0.04226918950499031,contra_internal
iMamm,iLDThal,0.024918821296005783,ipsi
cMamm,cLDThal,0.024918821296005783,contra_internal
iMamm,iLS,0.27064682643863996,ipsi
cMamm,cLS,0.27064682643863996,contra_internal
iMamm,iM1,0.046442185034604844,ipsi
cMamm,cM1,0.046442185034604844,contra_internal
iMamm,iM2,0.10232016878473117,ipsi
cMamm,cM2,0.10232016878473117,contra_internal
iMamm,iM,0.07515385947673703,ipsi
cMamm,cM,0.07515385947673703,contra_internal
iMamm,iSC,0.013325719686183068,ipsi
cMamm,cSC,0.013325719686183068,contra_internal
iMamm,iMS,0.2284520279468255,ipsi
cMamm,cMS,0.2284520279468255,contra_internal
iMamm,iDP,0.011681081250407264,ipsi
cMamm,cDP,0.011681081250407264,contra_internal
iMamm,iVO,0.024079669325329314,ipsi
cMamm,cVO,0.024079669325329314,contra_internal
iMamm,iPAG,0.24540880992806202,ipsi
cMamm,cPAG,0.24540880992806202,contra_internal
iMamm,iPS,0.030682070663352656,ipsi
cMamm,cPS,0.030682070663352656,contra_internal
iMamm,iPRh,0.01519450825274259,ipsi
cMamm,cPRh,0.01519450825274259,contra_internal
iMamm,iPir,0.07311849944873645,ipsi
cMamm,cPir,0.07311849944873645,contra_internal
iMamm,iPrL,0.021464128498813326,ipsi
cMamm,cPrL,0.021464128498813326,contra_internal
iMamm,iVLThal,0.060445728242021976,ipsi
cMamm,cVLThal,0.060445728242021976,contra_internal
iMamm,iRSC,0.031582496127619736,ipsi
cMamm,cRSC,0.031582496127619736,contra_internal
iMamm,iRSC-b,0.023308240161751505,ipsi
cMamm,cRSC-b,0.023308240161751505,contra_internal
iMamm,iRSA,0.031582496127619736,ipsi
cMamm,cRSA,0.031582496127619736,contra_internal
iMamm,iVMThal,0.017619263555232884,ipsi
cMamm,cVMThal,0.017619263555232884,contra_internal
iMamm,iot,0.02422801382209954,ipsi
cMamm,cot,0.02422801382209954,contra_internal
iMamm,iTeA,0.00831291500985431,ipsi
cMamm,cTeA,0.00831291500985431,contra_internal
iMamm,iV,0.009584972047962666,ipsi
cMamm,cV,0.009584972047962666,contra_internal
iMamm,iV-b,0.006943279366858514,ipsi
cMamm,cV-b,0.006943279366858514,contra_internal
iM1,iAcb,0.011869943392507815,ipsi
cM1,cAcb,0.011869943392507815,contra_internal
iM1,iAI,0.053063686189973716,ipsi
cM1,cAI,0.053063686189973716,contra_internal
iM1,iAI-b,0.0535868071673028,ipsi
cM1,cAI-b,0.0535868071673028,contra_internal
iM1,iDpMe,0.07758299484670428,ipsi
cM1,cDpMe,0.07758299484670428,contra_internal
iM1,iCA,0.007404183971169097,ipsi
cM1,cCA,0.007404183971169097,contra_internal
iM1,iCl,0.020939120362752396,ipsi
cM1,cCl,0.020939120362752396,contra_internal
iM1,iCPu,0.6973110075043523,ipsi
cM1,cCPu,0.6973110075043523,contra_internal
iM1,iPnO,0.014053581118373496,ipsi
